Josh0;20;1;0;0;5.019991
Josh1;21;1;0;0;5.020025
Josh2;22;1;1;0;5.019988
Josh3;23;0;0;0;15.02015
Josh4;24;1;1;0;5.019988
Josh5;25;1;1;1;5.019988
Josh6;26;1;1;0;5.020125
Josh7;27;0;0;0;15.02015
Josh8;28;1;0;0;5.020117
Josh9;29;0;0;0;15.02015
Josh10;30;1;0;0;5.019988
Josh11;31;1;1;1;5.02002
Josh12;32;2;1;0;-4.979822
Josh13;33;1;0;0;5.019988
Josh14;34;0;1;0;15.02015
Josh15;35;1;1;0;5.020104
Josh16;36;1;1;0;5.020018
Josh17;37;2;0;0;-4.979964
Josh18;38;0;0;0;15.02015
Josh19;39;0;1;0;15.02015
Josh11 & Josh5 jr.;40;0;0;0;1.439999
