Josh0;20;2;0;0;10.02008
Josh1;21;0;0;0;30.0205
Josh2;22;3;2;0;0.01997577
Josh3;23;1;1;0;20.02028
Josh4;24;2;1;0;10.0201
Josh5;25;2;1;0;10.02002
Josh6;26;3;1;0;0.02027525
Josh7;27;3;2;0;0.01998388
Josh8;28;3;1;0;0.02013888
Josh9;29;1;0;0;20.0205
Josh10;30;3;3;2;0.02031722
Josh11;31;3;1;1;0.0201457
Josh12;32;3;0;0;0.02001061
Josh13;33;0;0;0;30.0205
Josh14;34;0;0;0;30.0205
Josh15;35;1;0;0;20.0205
Josh16;36;1;1;0;20.02029
Josh17;37;0;0;0;30.0205
Josh18;38;2;1;1;10.02016
Josh19;39;3;1;0;0.02010407
Josh10 & Josh7 jr.;55;3;2;0;-4.059705
Josh18 & Josh2 jr.;56;0;0;0;16.9602
Josh11 & Josh5 jr.;57;1;1;0;3.17999
Josh10 & Josh10 & Josh7 jr. jr.;58;1;0;0;3.120026
